gene,gene_full,vulnerability_score
RPL23,RPL23 (9349),0.08201614
URI1,URI1 (8725),0.07736207
DHX15,DHX15 (1665),0.0730064
ATP6V1B2,ATP6V1B2 (526),0.072925985
RPS29,RPS29 (6235),0.07222421
YKT6,YKT6 (10652),0.071506605
EXOSC4,EXOSC4 (54512),0.07116681
PRELID1,PRELID1 (27166),0.07097527
PSMB3,PSMB3 (5691),0.07055804
DARS1,DARS1 (1615),0.07050122
WDR70,WDR70 (55100),0.070470415
RSL24D1,RSL24D1 (51187),0.069232635
PRIM1,PRIM1 (5557),0.06872748
RPS27A,RPS27A (6233),0.06856016
POLR2L,POLR2L (5441),0.066926666
LRR1,LRR1 (122769),0.06680537
ZNHIT2,ZNHIT2 (741),0.06663519
HNRNPK,HNRNPK (3190),0.065841615
TUBGCP4,TUBGCP4 (27229),0.065745145
PSMB2,PSMB2 (5690),0.06574479
BIRC5,BIRC5 (332),0.06489184
RPL26,RPL26 (6154),0.06386098
TRAPPC4,TRAPPC4 (51399),0.06383522
FAU,FAU (2197),0.06322013
SNRPF,SNRPF (6636),0.06315316
LUC7L3,LUC7L3 (51747),0.063142665
BANF1,BANF1 (8815),0.0630451
RPS15,RPS15 (6209),0.06286482
POLR3H,POLR3H (171568),0.062746786
ERH,ERH (2079),0.062092897
RAN,RAN (5901),0.06121505
ILF3,ILF3 (3609),0.06023986
PSMA6,PSMA6 (5687),0.05973562
PKMYT1,PKMYT1 (9088),0.05968975
HAUS3,HAUS3 (79441),0.059598267
TAF6,TAF6 (6878),0.05933692
PHB2,PHB2 (11331),0.05918567
CDK7,CDK7 (1022),0.058823913
ELAC2,ELAC2 (60528),0.058817055
CTDP1,CTDP1 (9150),0.0585514
RPS8,RPS8 (6202),0.058546126
MDN1,MDN1 (23195),0.05849651
ECD,ECD (11319),0.05837105
POLE,POLE (5426),0.058173012
PSMD8,PSMD8 (5714),0.058127567
PSMA7,PSMA7 (5688),0.058118284
SNRPA1,SNRPA1 (6627),0.057958625
GINS1,GINS1 (9837),0.05780129
FBL,FBL (2091),0.05771275
RUVBL1,RUVBL1 (8607),0.057666145
TRMT112,TRMT112 (51504),0.05762993
RPS24,RPS24 (6229),0.057535615
SRSF2,SRSF2 (6427),0.05748035
RPS28,RPS28 (6234),0.057423227
ORC6,ORC6 (23594),0.057297505
EFTUD2,EFTUD2 (9343),0.05706209
QARS1,QARS1 (5859),0.057024796
MAD2L1,MAD2L1 (4085),0.056940734
COPB1,COPB1 (1315),0.056749493
PDRG1,PDRG1 (81572),0.056748644
PSMD7,PSMD7 (5713),0.056738347
RPS11,RPS11 (6205),0.056636408
LSM3,LSM3 (27258),0.05656844
RPL8,RPL8 (6132),0.056327984
PSMD11,PSMD11 (5717),0.056260884
POLR2K,POLR2K (5440),0.05619041
CHEK1,CHEK1 (1111),0.05583028
ANAPC11,ANAPC11 (51529),0.05555942
PSMG3,PSMG3 (84262),0.055549853
H2BC11,H2BC11 (8970),0.055529185
UBA1,UBA1 (7317),0.055524148
COPS5,COPS5 (10987),0.0554475
BUB3,BUB3 (9184),0.055402663
PRPF38B,PRPF38B (55119),0.055378046
RPL15,RPL15 (6138),0.055262305
TARS1,TARS1 (6897),0.05525018
INTS3,INTS3 (65123),0.05522968
EIF2B1,EIF2B1 (1967),0.055132084
CDC16,CDC16 (8881),0.05499149
RPL36,RPL36 (25873),0.05497821
UROD,UROD (7389),0.05490875
COG3,COG3 (83548),0.054844044
RTF2,RTF2 (51507),0.054775298
ESPL1,ESPL1 (9700),0.05461138
GFER,GFER (2671),0.054597
EIF2S1,EIF2S1 (1965),0.05459292
KIF11,KIF11 (3832),0.05457098
CDK1,CDK1 (983),0.05451287
CDC45,CDC45 (8318),0.05449356
IK,IK (3550),0.054469235
RFC3,RFC3 (5983),0.054259885
NDC80,NDC80 (10403),0.054222263
SF3B5,SF3B5 (83443),0.05419467
RPS20,RPS20 (6224),0.05416376
SFPQ,SFPQ (6421),0.05412576
SARS1,SARS1 (6301),0.05395818
SEC61A1,SEC61A1 (29927),0.053865362
H2BC6,H2BC6 (8344),0.05382092
RBM22,RBM22 (55696),0.05377785
EIF1AD,EIF1AD (84285),0.05375919
RPS13,RPS13 (6207),0.053564277
NKAP,NKAP (79576),0.053474016
HAUS6,HAUS6 (54801),0.053455923
TTC1,TTC1 (7265),0.053336456
H2BC4,H2BC4 (8347),0.053223364
NOP56,NOP56 (10528),0.05313063
RPP21,RPP21 (79897),0.052979127
ZNF492,ZNF492 (57615),0.052942827
GPN3,GPN3 (51184),0.05294059
RPS2,RPS2 (6187),0.052836254
YARS1,YARS1 (8565),0.05267282
RBM17,RBM17 (84991),0.05266622
CCT8,CCT8 (10694),0.05240643
DPAGT1,DPAGT1 (1798),0.052368227
SF3A1,SF3A1 (10291),0.052328087
ATP6V0C,ATP6V0C (527),0.052310765
NEDD1,NEDD1 (121441),0.052301332
SACM1L,SACM1L (22908),0.052284792
WDHD1,WDHD1 (11169),0.052270964
EIF2B4,EIF2B4 (8890),0.052249216
ELL,ELL (8178),0.052142747
GPS1,GPS1 (2873),0.05213337
THOC3,THOC3 (84321),0.05212623
UBL5,UBL5 (59286),0.052098352
INTS11,INTS11 (54973),0.052027635
RAD21,RAD21 (5885),0.052027617
NAPA,NAPA (8775),0.0520124
ZNF207,ZNF207 (7756),0.051885195
VCP,VCP (7415),0.051876016
RBMX,RBMX (27316),0.05182853
RPL38,RPL38 (6169),0.051667545
SKA1,SKA1 (220134),0.051614475
RPP38,RPP38 (10557),0.051476236
PSMA1,PSMA1 (5682),0.05137761
GSPT1,GSPT1 (2935),0.051332027
TONSL,TONSL (4796),0.0512658
XRCC6,XRCC6 (2547),0.05126391
DCTN2,DCTN2 (10540),0.051254988
RPL5,RPL5 (6125),0.05120591
SART3,SART3 (9733),0.0511537
SF3A3,SF3A3 (10946),0.051080503
ANAPC1,ANAPC1 (64682),0.051028356
PUF60,PUF60 (22827),0.0509369
SRSF3,SRSF3 (6428),0.05089641
SRSF1,SRSF1 (6426),0.05083137
SRP9,SRP9 (6726),0.050806776
JPH4,JPH4 (84502),0.05080394
SF3A2,SF3A2 (8175),0.05074681
PSMA5,PSMA5 (5686),0.050646696
SNRNP200,SNRNP200 (23020),0.05052383
RPL31,RPL31 (6160),0.050502326
DDX56,DDX56 (54606),0.050388653
EIF3M,EIF3M (10480),0.050379008
CIAO2B,CIAO2B (51647),0.0503735
RNPS1,RNPS1 (10921),0.05035709
SUPT16H,SUPT16H (11198),0.050343357
RPL34,RPL34 (6164),0.050275717
PRPF6,PRPF6 (24148),0.050196882
PSMA3,PSMA3 (5684),0.050196014
EIF4A3,EIF4A3 (9775),0.050116587
CSE1L,CSE1L (1434),0.050112102
NOL6,NOL6 (65083),0.050109375
EIF5,EIF5 (1983),0.050099105
NFS1,NFS1 (9054),0.050025113
XPO1,XPO1 (7514),0.049998656
RPL7,RPL7 (6129),0.049933087
DDB1,DDB1 (1642),0.049920976
INTS2,INTS2 (57508),0.049897753
H2BC15,H2BC15 (8341),0.049869213
SNU13,SNU13 (4809),0.049861133
RPL27,RPL27 (6155),0.049752995
BRF2,BRF2 (55290),0.049729396
NMD3,NMD3 (51068),0.049614884
SNRPG,SNRPG (6637),0.049487215
TRRAP,TRRAP (8295),0.049400974
PFDN6,PFDN6 (10471),0.049383417
PHF5A,PHF5A (84844),0.049370445
TXNL4A,TXNL4A (10907),0.049342114
H3-3A,H3-3A (3020),0.04933821
ANAPC2,ANAPC2 (29882),0.04931611
U2AF2,U2AF2 (11338),0.04927365
MED6,MED6 (10001),0.049250085
ERCC6L,ERCC6L (54821),0.049229365
ZMAT5,ZMAT5 (55954),0.04919552
SHQ1,SHQ1 (55164),0.049087595
ALG14,ALG14 (199857),0.049086206
CCT6A,CCT6A (908),0.049083836
PSMC6,PSMC6 (5706),0.04902455
EEF2,EEF2 (1938),0.048987467
RFC5,RFC5 (5985),0.04898154
TRAPPC8,TRAPPC8 (22878),0.048911322
TICRR,TICRR (90381),0.048880145
DUT,DUT (1854),0.048873648
TUT1,TUT1 (64852),0.04886573
RPL37A,RPL37A (6168),0.048814148
POLR1C,POLR1C (9533),0.048780795
POP5,POP5 (51367),0.048714742
COPE,COPE (11316),0.048579834
ELP4,ELP4 (26610),0.048541915
EEF1G,EEF1G (1937),0.048490893
LSM7,LSM7 (51690),0.048462953
SBDS,SBDS (51119),0.04839989
CRCP,CRCP (27297),0.04826103
