gene,gene_full,effect_size,cohens_d,pvalue,ecdna_pos_mean,ecdna_neg_mean,ecdna_pos_std,ecdna_neg_std,n_pos,n_neg,fdr,category
DDX3X,DDX3X (1654),-0.20756702170698005,-0.34108016980725087,0.0011346562228635683,-1.3828553340055874,-1.1752883122986073,0.5539737938709494,0.6586337362150113,92,970,0.4267356610309536,Other
BCL2L1,BCL2L1 (598),-0.14903002258773435,-0.2538265907309156,0.022976307442232807,-1.096360282614825,-0.9473302600270908,0.6402506918171518,0.5287058529044358,92,970,0.5679806142378677,Other
SGO1,SGO1 (151648),-0.14497705380629333,-0.33325042158052043,0.000988140023520112,-1.294196871536233,-1.1492198177299398,0.4524010045420964,0.41695544104279186,92,970,0.4267356610309536,Other
PPP1R12A,PPP1R12A (4659),-0.1362371140787244,-0.22404875921149117,0.00795677337949501,-1.2959553537089161,-1.1597182396301917,0.6253299844939098,0.5903035888031279,92,970,0.5305535960685753,Other
KCMF1,KCMF1 (56888),-0.12591819349884636,-0.3390840333552986,0.0006750827897680985,-1.068400720156071,-0.9424825266572247,0.3544357777543393,0.38752293251043146,92,970,0.4267356610309536,Other
KIF18A,KIF18A (81930),-0.12359193867393437,-0.2073289595790631,0.03999247681718577,-1.1703932300908813,-1.0468012914169469,0.6176666400205093,0.5737547573073444,92,970,0.620986386023437,Other
ECT2,ECT2 (1894),-0.12199037312390948,-0.3363742214710524,0.0015080644698742256,-1.1101346157710348,-0.9881442426471253,0.3704902326009825,0.3546623906003926,92,970,0.4447973091625736,Other
EIF1AX,EIF1AX (1964),-0.12003638073887912,-0.18615290184103453,0.056519910177274126,-1.6650663301215045,-1.5450299493826254,0.6269642261807286,0.6622077266662062,92,970,0.6674167742381362,Other
GSPT1,GSPT1 (2935),-0.11963355068415393,-0.24745373634922507,0.007023444495484056,-1.8055033779412881,-1.6858698272571342,0.468894481692088,0.49759594731258583,92,970,0.5003272521619724,Other
NCAPD2,NCAPD2 (9918),-0.11648385053703514,-0.3865628284920379,0.0006700946031670874,-1.257262672104277,-1.1407788215672419,0.3276128975817342,0.27252899026339533,92,970,0.4267356610309536,Other
PPP1CB,PPP1CB (5500),-0.11622310969671923,-0.2706766627993536,0.003822843994303598,-1.159592465024389,-1.0433693553276697,0.429202135705281,0.4295575264115307,92,970,0.4517095283374291,Other
UBC,UBC (7316),-0.11056196920159955,-0.27247482360170255,0.010310240825981127,-0.7248275822343737,-0.6142656130327742,0.4249625485918526,0.3856223337839906,92,970,0.5433984612617796,Other
NHLRC2,NHLRC2 (374354),-0.11046632967776893,-0.2597322896897596,0.006492875796539442,-0.7597400239408694,-0.6492736942631004,0.4190793840399531,0.43144753289277143,92,970,0.48402062099668164,Other
CWC22,CWC22 (57703),-0.11003305364262306,-0.2882066732143967,0.0024856757719462397,-1.4685265188263978,-1.3584934651837748,0.36759271535490884,0.39546875123492914,92,970,0.45157223790850254,Other
UBR4,UBR4 (23352),-0.11001274635125124,-0.2629081144995599,0.005559561928179642,-1.0941723826114098,-0.9841596362601586,0.406905509883561,0.4296758814713354,92,970,0.4642633221651641,Other
UBE2C,UBE2C (11065),-0.10619997412908255,-0.23864676427035852,0.08475719988094177,-0.8273485504966586,-0.721148576367576,0.5028790932651268,0.37838969147095775,92,970,0.7116332423000208,Other
CDK2,CDK2 (1017),-0.10552945280161419,-0.3307487469200199,0.0003067082734932041,-0.7382428973091162,-0.632713444507502,0.3209337299830059,0.3171798094307028,92,970,0.3823556783769208,Cell_cycle
NCAPG,NCAPG (64151),-0.10471509532051337,-0.26911342307625674,0.010378585029544467,-1.5562292626460204,-1.451514167325507,0.4050847351779366,0.3724536062185283,92,970,0.5433984612617796,Other
GPN1,GPN1 (11321),-0.10453250596620367,-0.26572763097039975,0.01657463854381643,-1.8808879571152146,-1.776355451149011,0.35628169226548156,0.4272731945511045,92,970,0.5598445637762965,Other
HSPA9,HSPA9 (3313),-0.10353666023944874,-0.32813901932822975,0.0020681903611806532,-2.047338140159486,-1.9438014799200374,0.30291419294913496,0.3276542933659788,92,970,0.45157223790850254,Other
CDK1,CDK1 (983),-0.10303330853985271,-0.26882213534567884,0.019452821956277042,-2.2729554475844322,-2.1699221390445795,0.3416292296328135,0.42082276382351,92,970,0.5625890202798417,Cell_cycle
DYNLRB1,DYNLRB1 (83658),-0.10171228023219525,-0.23090335552651117,0.014338852911145596,-1.7744618245082413,-1.672749544276046,0.422106715403209,0.4581500594150889,92,970,0.5532918049810529,Other
SLC2A1,SLC2A1 (6513),-0.1007413869989851,-0.2771779569026667,0.016766333633350783,-0.5288754304652774,-0.4281340434662923,0.39342752009851284,0.3307750650002132,92,970,0.5598445637762965,Other
TRAPPC3,TRAPPC3 (27095),-0.10048054143436613,-0.27626305561536685,0.0027352259515055657,-1.6132135381454002,-1.5127329967110341,0.3285231224397015,0.39578688029065895,92,970,0.45157223790850254,Other
BORA,BORA (79866),-0.09961386243512682,-0.3073099133377557,0.0011618429682687557,-1.0379301125056215,-0.9383162500704947,0.3193954262332114,0.3288316913312068,92,970,0.4267356610309536,Other
TPX2,TPX2 (22974),-0.09895147526040193,-0.28596435372138107,0.0022518706125752522,-1.2073214945606503,-1.1083700193002484,0.3633082979880249,0.32783665933862394,92,970,0.45157223790850254,Other
SKP2,SKP2 (6502),-0.09685472678382923,-0.24227536570024533,0.03241359562614074,-0.6710546005282101,-0.5741998737443809,0.4183618180543628,0.3802729288361737,92,970,0.5891801006179443,Other
